epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,365.022,1.35022,2.40075,1.25636,0.84008,0.49863,0.55121,0.34475,1.24428,1.28778,1.15378,0.00332866,0.00332866,0.00332866
2,734.419,1.36233,1.41865,1.22354,0.66438,0.4679,0.53676,0.31505,1.38408,1.23515,1.26279,0.0066554,0.0066554,0.0066554
3,1101.78,1.46216,1.39616,1.30243,0.41622,0.31122,0.29672,0.1542,1.95629,2.55578,1.6867,0.00997554,0.00997554,0.00997554
4,1472.62,1.48305,1.37087,1.33449,0.69356,0.5151,0.56406,0.33812,1.39077,1.14728,1.2936,0.0099703,0.0099703,0.0099703
5,1830.52,1.41757,1.24242,1.29836,0.68957,0.55515,0.59527,0.36607,1.3626,1.05494,1.26199,0.0099604,0.0099604,0.0099604
6,2196.34,1.39052,1.17931,1.28004,0.67807,0.57554,0.62185,0.3931,1.25701,0.93034,1.2119,0.0099505,0.0099505,0.0099505
7,2540.84,1.36502,1.13768,1.2684,0.72538,0.58739,0.63825,0.40915,1.23648,0.89143,1.20639,0.0099406,0.0099406,0.0099406
8,2857.44,1.34723,1.09548,1.2546,0.72392,0.62229,0.67828,0.43916,1.20181,0.81384,1.17291,0.0099307,0.0099307,0.0099307
9,3176.67,1.33182,1.0742,1.24176,0.73222,0.65047,0.69324,0.45728,1.16911,0.79003,1.15004,0.0099208,0.0099208,0.0099208
10,3510.43,1.32065,1.05624,1.24027,0.70556,0.67698,0.70445,0.47502,1.13912,0.74451,1.1399,0.0099109,0.0099109,0.0099109
11,3837.43,1.31042,1.04227,1.23036,0.70861,0.67788,0.72568,0.4906,1.12368,0.72135,1.12776,0.009901,0.009901,0.009901
