epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.963,1.35595,2.41407,1.26071,0.78796,0.46872,0.49991,0.3126,1.26109,1.44117,1.18287,0.00332866,0.00332866,0.00332866
2,308.8,1.35763,1.42035,1.22705,0.7985,0.51232,0.56819,0.34153,1.33752,1.18036,1.21871,0.00659604,0.00659604,0.00659604
3,461.638,1.45894,1.39043,1.30283,0.68154,0.38499,0.42765,0.24287,1.50204,2.32671,1.39625,0.00979742,0.00979742,0.00979742
4,614.586,1.47445,1.35143,1.32597,0.58186,0.51689,0.54369,0.31879,1.41915,1.31245,1.32249,0.009703,0.009703,0.009703
5,767.175,1.41827,1.23144,1.29761,0.62997,0.57708,0.61275,0.38432,1.27257,0.99247,1.21107,0.009604,0.009604,0.009604
6,919.466,1.38627,1.1667,1.27837,0.88739,0.52124,0.60278,0.38056,1.25904,0.96111,1.20981,0.009505,0.009505,0.009505
7,1071.94,1.35946,1.12154,1.2612,0.63715,0.6661,0.66293,0.43125,1.22669,0.83653,1.18798,0.009406,0.009406,0.009406
8,1224.37,1.34223,1.09124,1.25124,0.66893,0.65489,0.67892,0.44737,1.18879,0.80318,1.16809,0.009307,0.009307,0.009307
9,1377.2,1.32809,1.06319,1.24273,0.71294,0.6717,0.70294,0.46396,1.16901,0.781,1.15846,0.009208,0.009208,0.009208
10,1529.64,1.31671,1.03497,1.23473,0.77692,0.63672,0.6954,0.46593,1.14453,0.75489,1.13516,0.009109,0.009109,0.009109
11,1682.44,1.30262,1.02686,1.22583,0.7239,0.69581,0.73266,0.50057,1.10657,0.72931,1.12131,0.00901,0.00901,0.00901
12,1834.84,1.29015,1.00075,1.21742,0.68744,0.7178,0.74676,0.5081,1.09343,0.70617,1.11367,0.008911,0.008911,0.008911
13,1987.54,1.27976,0.99602,1.21234,0.72741,0.71764,0.7572,0.52259,1.09107,0.68533,1.1065,0.008812,0.008812,0.008812
14,2139.96,1.27596,0.98277,1.21001,0.71314,0.7268,0.7603,0.53279,1.07776,0.67605,1.10329,0.008713,0.008713,0.008713
15,2292.46,1.26729,0.97193,1.20436,0.74943,0.72636,0.77262,0.53816,1.07421,0.66301,1.10044,0.008614,0.008614,0.008614
16,2444.8,1.25955,0.96193,1.20214,0.75294,0.7467,0.77513,0.54103,1.06534,0.65018,1.0951,0.008515,0.008515,0.008515
17,2597.31,1.25899,0.95943,1.20057,0.76355,0.74248,0.78353,0.54625,1.06008,0.64454,1.09314,0.008416,0.008416,0.008416
18,2750.06,1.24762,0.94377,1.19441,0.80254,0.72262,0.78153,0.54796,1.05306,0.63932,1.0902,0.008317,0.008317,0.008317
19,2902.76,1.24382,0.93389,1.18843,0.80472,0.72914,0.78582,0.55525,1.04973,0.63135,1.0865,0.008218,0.008218,0.008218
20,3055.4,1.24336,0.93363,1.19119,0.74973,0.74279,0.78738,0.55629,1.04398,0.62778,1.08261,0.008119,0.008119,0.008119
21,3207.94,1.23714,0.92333,1.18895,0.76322,0.75379,0.7931,0.56063,1.04219,0.62463,1.08174,0.00802,0.00802,0.00802
22,3360.48,1.23324,0.9229,1.18813,0.76792,0.75574,0.79574,0.56416,1.03932,0.62018,1.08052,0.007921,0.007921,0.007921
